Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
SC0,31/07/2021,13:30,Rangers,Livingston,3,0,1.66,2.2
SC0,31/07/2021,15:00,Dundee,St Mirren,2,2,2.2,1.66
SC0,31/07/2021,15:00,Ross County,St Johnstone,0,0,2.3,1.61
SC0,31/07/2021,20:00,Hearts,Celtic,2,1,1.8,2
SC0,1/08/2021,15:00,Aberdeen,Dundee United,2,0,2.3,1.61
SC0,1/08/2021,16:30,Motherwell,Hibernian,2,3,2.1,1.72
SC0,7/08/2021,12:30,Dundee United,Rangers,1,0,1.66,2.2
SC0,7/08/2021,15:00,St Mirren,Hearts,1,2,2.1,1.72
SC0,8/08/2021,15:00,Celtic,Dundee,6,0,1.53,2.5
SC0,8/08/2021,15:00,Hibernian,Ross County,3,0,1.9,1.9
SC0,8/08/2021,15:00,Livingston,Aberdeen,1,2,2.5,1.53
SC0,8/08/2021,15:00,St Johnstone,Motherwell,1,1,2.3,1.61
SC0,21/08/2021,15:00,Celtic,St Mirren,6,0,1.53,2.5
SC0,21/08/2021,15:00,Livingston,Motherwell,1,2,2.3,1.61
SC0,22/08/2021,12:00,Dundee,Hibernian,2,2,1.9,1.9
SC0,22/08/2021,15:00,Hearts,Aberdeen,1,1,2.3,1.61
SC0,22/08/2021,15:00,Ross County,Rangers,2,4,1.66,2.2
SC0,22/08/2021,15:00,St Johnstone,Dundee United,0,1,2.37,1.57
SC0,28/08/2021,15:00,Dundee United,Hearts,0,2,2.1,1.72
SC0,28/08/2021,15:00,Hibernian,Livingston,2,0,2,1.8
SC0,28/08/2021,15:00,Motherwell,Dundee,1,0,2.1,1.72
SC0,29/08/2021,12:00,Rangers,Celtic,1,0,1.9,1.95
SC0,29/08/2021,15:00,Aberdeen,Ross County,1,1,2.1,1.72
SC0,29/08/2021,15:00,St Mirren,St Johnstone,0,0,2.37,1.57
SC0,11/09/2021,12:30,St Johnstone,Rangers,1,2,1.93,1.93
SC0,11/09/2021,15:00,Celtic,Ross County,3,0,1.36,3.2
SC0,11/09/2021,15:00,Dundee,Livingston,0,0,2.3,1.61
SC0,11/09/2021,15:00,Motherwell,Aberdeen,2,0,2.3,1.61
SC0,11/09/2021,15:00,St Mirren,Dundee United,0,0,2.3,1.61
SC0,12/09/2021,12:00,Hearts,Hibernian,0,0,2.1,1.72
SC0,18/09/2021,15:00,Aberdeen,St Johnstone,0,1,2.5,1.53
SC0,18/09/2021,15:00,Hibernian,St Mirren,2,2,2,1.8
SC0,18/09/2021,15:00,Ross County,Hearts,2,2,1.8,2
SC0,19/09/2021,12:00,Dundee United,Dundee,1,0,2.2,1.66
SC0,19/09/2021,15:00,Livingston,Celtic,1,0,1.72,2.1
SC0,19/09/2021,15:00,Rangers,Motherwell,1,1,1.72,2.1
SC0,25/09/2021,15:00,Dundee,Rangers,0,1,1.72,2.1
SC0,25/09/2021,15:00,Hearts,Livingston,3,0,2.1,1.72
SC0,25/09/2021,15:00,Motherwell,Ross County,2,1,2,1.8
SC0,26/09/2021,12:00,St Mirren,Aberdeen,3,2,2.5,1.53
SC0,26/09/2021,15:00,Celtic,Dundee United,1,1,1.44,2.75
SC0,26/09/2021,15:00,Hibernian,St Johnstone,1,0,2.2,1.66
SC0,2/10/2021,15:00,Dundee United,Ross County,1,0,2.2,1.66
SC0,2/10/2021,15:00,Hearts,Motherwell,2,0,2,1.8
SC0,2/10/2021,15:00,Livingston,St Mirren,0,1,2.37,1.57
SC0,2/10/2021,15:00,St Johnstone,Dundee,3,1,2.37,1.57
SC0,3/10/2021,12:00,Aberdeen,Celtic,1,2,1.9,1.9
SC0,3/10/2021,15:00,Rangers,Hibernian,2,1,1.66,2.2
SC0,16/10/2021,15:00,Hibernian,Dundee United,0,3,1.9,1.9
SC0,16/10/2021,15:00,Motherwell,Celtic,0,2,1.72,2.1
SC0,16/10/2021,15:00,Rangers,Hearts,1,1,1.83,2.02
SC0,16/10/2021,15:00,Ross County,St Mirren,2,3,2.1,1.72
SC0,16/10/2021,15:00,St Johnstone,Livingston,0,3,2.5,1.53
SC0,16/10/2021,18:00,Dundee,Aberdeen,2,1,2.2,1.66
SC0,23/10/2021,15:00,Aberdeen,Hibernian,1,0,2.3,1.61
SC0,23/10/2021,15:00,Celtic,St Johnstone,2,0,1.66,2.2
SC0,23/10/2021,15:00,Dundee United,Motherwell,2,1,2.2,1.66
SC0,23/10/2021,15:00,Hearts,Dundee,1,1,1.9,1.9
SC0,23/10/2021,15:00,Ross County,Livingston,2,3,2.2,1.66
SC0,24/10/2021,12:00,St Mirren,Rangers,1,2,1.9,1.9
SC0,27/10/2021,19:45,Dundee,Ross County,0,5,2.1,1.72
SC0,27/10/2021,19:45,Hibernian,Celtic,1,3,1.8,2
SC0,27/10/2021,19:45,Livingston,Dundee United,1,1,2.5,1.53
SC0,27/10/2021,19:45,Motherwell,St Mirren,2,2,2.3,1.61
SC0,27/10/2021,19:45,Rangers,Aberdeen,2,2,1.72,2.1
SC0,27/10/2021,19:45,St Johnstone,Hearts,1,1,2.3,1.61
SC0,30/10/2021,15:00,Aberdeen,Hearts,2,1,2.2,1.66
SC0,30/10/2021,15:00,Celtic,Livingston,0,0,1.5,2.62
SC0,30/10/2021,15:00,Dundee United,St Johnstone,0,1,2.5,1.53
SC0,30/10/2021,15:00,St Mirren,Dundee,0,1,2,1.8
SC0,31/10/2021,12:00,Motherwell,Rangers,1,6,1.72,2.1
SC0,6/11/2021,15:00,Aberdeen,Motherwell,0,2,2.2,1.66
SC0,6/11/2021,15:00,Hearts,Dundee United,5,2,2.2,1.66
SC0,6/11/2021,15:00,St Johnstone,St Mirren,0,0,2.5,1.53
SC0,7/11/2021,12:00,Dundee,Celtic,2,4,1.61,2.3
SC0,7/11/2021,15:00,Rangers,Ross County,4,2,1.44,2.75
SC0,20/11/2021,15:00,Dundee United,Aberdeen,1,0,2.3,1.61
SC0,20/11/2021,15:00,Motherwell,Hearts,2,0,2.02,1.83
SC0,20/11/2021,15:00,St Mirren,Livingston,1,1,2.3,1.61
SC0,24/11/2021,19:45,Ross County,Hibernian,1,0,1.98,1.88
SC0,27/11/2021,15:00,Dundee,Motherwell,3,0,2,1.8
SC0,27/11/2021,15:00,Hearts,St Mirren,2,0,2,1.85
SC0,27/11/2021,15:00,Ross County,Dundee United,1,1,2.2,1.66
SC0,27/11/2021,15:00,St Johnstone,Hibernian,1,2,2.37,1.57
SC0,28/11/2021,12:00,Livingston,Rangers,1,3,1.8,2
SC0,28/11/2021,15:00,Celtic,Aberdeen,2,1,1.66,2.2
SC0,30/11/2021,19:45,Motherwell,Dundee United,1,0,2.5,1.53
SC0,1/12/2021,19:45,Aberdeen,Livingston,2,0,2.5,1.53
SC0,1/12/2021,19:45,Dundee,St Johnstone,1,0,2.62,1.5
SC0,1/12/2021,19:45,Hibernian,Rangers,0,1,1.8,2
SC0,1/12/2021,19:45,St Mirren,Ross County,0,0,2.37,1.57
SC0,2/12/2021,19:45,Celtic,Hearts,1,0,1.66,2.2
SC0,4/12/2021,15:00,Aberdeen,St Mirren,4,1,2.37,1.57
SC0,4/12/2021,15:00,Hibernian,Motherwell,1,1,1.95,1.9
SC0,4/12/2021,15:00,Rangers,Dundee,3,0,1.53,2.5
SC0,5/12/2021,12:00,Dundee United,Celtic,0,3,1.8,2
SC0,5/12/2021,15:00,Livingston,Hearts,0,1,2.2,1.66
SC0,8/12/2021,19:45,Livingston,Hibernian,1,0,2.2,1.66
SC0,11/12/2021,15:00,Dundee United,Livingston,0,1,2.37,1.57
SC0,11/12/2021,15:00,Ross County,Dundee,3,2,2.1,1.72
SC0,11/12/2021,15:00,St Johnstone,Aberdeen,0,1,2.62,1.5
SC0,11/12/2021,15:00,St Mirren,Hibernian,1,1,2.2,1.66
SC0,12/12/2021,12:00,Hearts,Rangers,0,2,1.66,2.2
SC0,12/12/2021,15:00,Celtic,Motherwell,1,0,1.5,2.62
SC0,14/12/2021,19:45,Hibernian,Dundee,1,0,1.95,1.9
SC0,15/12/2021,19:45,Rangers,St Johnstone,2,0,1.57,2.37
SC0,15/12/2021,19:45,Ross County,Celtic,1,2,1.57,2.37
SC0,18/12/2021,15:00,Dundee,Hearts,0,1,2.2,1.66
SC0,18/12/2021,15:00,Livingston,Ross County,1,1,2.1,1.72
SC0,18/12/2021,15:00,Motherwell,St Johnstone,2,0,2.37,1.57
SC0,18/12/2021,15:00,Rangers,Dundee United,1,0,1.53,2.5
SC0,22/12/2021,19:45,Hibernian,Aberdeen,1,0,2.3,1.61
SC0,22/12/2021,19:45,St Johnstone,Ross County,1,2,2.62,1.5
SC0,22/12/2021,19:45,St Mirren,Celtic,0,0,1.57,2.37
SC0,26/12/2021,12:30,St Johnstone,Celtic,1,3,1.66,2.2
SC0,26/12/2021,15:00,Aberdeen,Dundee,2,1,1.9,1.9
SC0,26/12/2021,15:00,Dundee United,Hibernian,1,3,2,1.8
SC0,26/12/2021,15:00,Hearts,Ross County,2,1,1.9,1.95
SC0,26/12/2021,15:00,Motherwell,Livingston,2,1,2.3,1.61
SC0,26/12/2021,15:00,Rangers,St Mirren,2,0,1.53,2.5
SC0,17/01/2022,19:45,Celtic,Hibernian,2,0,1.66,2.2
SC0,18/01/2022,19:45,Aberdeen,Rangers,1,1,1.95,1.9
SC0,18/01/2022,19:45,Dundee United,St Mirren,1,2,2.3,1.61
SC0,18/01/2022,19:45,Hearts,St Johnstone,2,0,2.1,1.72
SC0,18/01/2022,19:45,Livingston,Dundee,2,0,2.37,1.57
SC0,18/01/2022,19:45,Ross County,Motherwell,3,1,2.2,1.66
SC0,25/01/2022,19:45,St Mirren,Aberdeen,1,0,2.37,1.57
SC0,26/01/2022,19:45,Dundee United,Ross County,2,1,2.1,1.72
SC0,26/01/2022,19:45,Hearts,Celtic,1,2,1.8,2.05
SC0,26/01/2022,19:45,Motherwell,Hibernian,0,0,2.2,1.66
SC0,26/01/2022,19:45,Rangers,Livingston,1,0,1.57,2.37
SC0,26/01/2022,19:45,St Johnstone,Dundee,0,0,2.62,1.5
SC0,29/01/2022,12:30,Ross County,Rangers,3,3,1.72,2.1
SC0,29/01/2022,15:00,Celtic,Dundee United,1,0,1.44,2.75
SC0,29/01/2022,15:00,Hearts,Motherwell,2,0,2.1,1.72
SC0,29/01/2022,15:00,Hibernian,Livingston,2,3,2.37,1.57
SC0,1/02/2022,19:45,Dundee,Dundee United,0,0,2.2,1.66
SC0,1/02/2022,19:45,Hibernian,Hearts,0,0,2.2,1.66
SC0,1/02/2022,19:45,Livingston,St Johnstone,1,2,3.2,1.36
SC0,1/02/2022,19:45,Ross County,Aberdeen,1,1,2.2,1.66
SC0,1/02/2022,19:45,St Mirren,Motherwell,1,1,2.37,1.57
SC0,2/02/2022,19:45,Celtic,Rangers,3,0,2,1.85
SC0,5/02/2022,15:00,Dundee,Ross County,1,2,1.93,1.93
SC0,5/02/2022,15:00,Hibernian,St Mirren,0,1,2.1,1.72
SC0,5/02/2022,15:00,Livingston,Aberdeen,2,1,2.62,1.5
SC0,5/02/2022,15:00,St Johnstone,Dundee United,0,0,2.75,1.44
SC0,6/02/2022,13:30,Motherwell,Celtic,0,4,1.72,2.1
SC0,6/02/2022,16:00,Rangers,Hearts,5,0,1.8,2
SC0,9/02/2022,19:45,Aberdeen,Celtic,2,3,1.85,2
SC0,9/02/2022,19:45,Dundee United,Motherwell,2,0,2.37,1.57
SC0,9/02/2022,19:45,Hearts,Dundee,1,2,1.95,1.9
SC0,9/02/2022,19:45,Rangers,Hibernian,2,0,1.72,2.1
SC0,9/02/2022,19:45,Ross County,Livingston,1,1,2.3,1.61
SC0,9/02/2022,19:45,St Mirren,St Johnstone,2,1,2.75,1.44
SC0,15/02/2022,19:45,Aberdeen,St Johnstone,1,1,2.62,1.5
SC0,19/02/2022,15:00,Hibernian,Ross County,2,0,2.05,1.8
SC0,19/02/2022,15:00,Livingston,St Mirren,1,1,2.5,1.53
SC0,19/02/2022,15:00,Motherwell,Aberdeen,1,1,2.5,1.53
SC0,19/02/2022,15:00,St Johnstone,Hearts,2,1,2.3,1.61
SC0,20/02/2022,12:00,Dundee United,Rangers,1,1,1.72,2.1
SC0,20/02/2022,15:00,Celtic,Dundee,3,2,1.44,2.75
SC0,26/02/2022,15:00,Aberdeen,Dundee United,1,1,2.5,1.53
SC0,26/02/2022,15:00,Dundee,Livingston,0,4,2.5,1.53
SC0,26/02/2022,15:00,Ross County,St Johnstone,3,1,2.5,1.53
SC0,26/02/2022,15:00,St Mirren,Hearts,0,2,2.1,1.72
SC0,27/02/2022,12:00,Hibernian,Celtic,0,0,1.8,2
SC0,27/02/2022,15:00,Rangers,Motherwell,2,2,1.72,2.1
SC0,2/03/2022,19:45,Celtic,St Mirren,2,0,1.44,2.75
SC0,2/03/2022,19:45,Dundee,Hibernian,0,0,2.1,1.72
SC0,2/03/2022,19:45,Hearts,Aberdeen,2,0,2.2,1.66
SC0,2/03/2022,19:45,Livingston,Dundee United,2,1,2.5,1.53
SC0,2/03/2022,19:45,Motherwell,Ross County,0,1,2.05,1.8
SC0,2/03/2022,19:45,St Johnstone,Rangers,0,1,1.8,2
SC0,5/03/2022,15:00,Dundee United,Hearts,2,2,2.2,1.66
SC0,5/03/2022,15:00,Hibernian,St Johnstone,0,0,2.37,1.57
SC0,5/03/2022,15:00,Motherwell,Dundee,1,1,2.2,1.66
SC0,5/03/2022,15:00,Rangers,Aberdeen,1,0,1.72,2.1
SC0,5/03/2022,15:00,Ross County,St Mirren,1,0,2.2,1.66
SC0,6/03/2022,12:00,Livingston,Celtic,1,3,1.72,2.1
SC0,9/03/2022,19:45,Dundee,St Mirren,0,1,2.2,1.66
SC0,19/03/2022,15:00,Aberdeen,Hibernian,3,1,2.62,1.5
SC0,19/03/2022,15:00,Celtic,Ross County,4,0,1.4,3
SC0,19/03/2022,15:00,Hearts,Livingston,2,0,2.05,1.8
SC0,19/03/2022,15:00,St Johnstone,Motherwell,2,1,2.62,1.5
SC0,19/03/2022,15:00,St Mirren,Dundee United,1,2,2.5,1.53
SC0,20/03/2022,12:00,Dundee,Rangers,1,2,1.72,2.1
SC0,2/04/2022,15:00,Dundee,Aberdeen,2,2,2.5,1.53
SC0,2/04/2022,15:00,Hibernian,Dundee United,1,1,2.3,1.61
SC0,2/04/2022,15:00,Motherwell,St Mirren,4,2,2.5,1.53
SC0,2/04/2022,15:00,Ross County,Hearts,1,1,2.1,1.72
SC0,2/04/2022,15:00,St Johnstone,Livingston,1,0,3,1.4
SC0,3/04/2022,12:00,Rangers,Celtic,1,2,1.98,1.88
SC0,9/04/2022,15:00,Aberdeen,Ross County,0,1,1.98,1.88
SC0,9/04/2022,15:00,Celtic,St Johnstone,7,0,1.61,2.3
SC0,9/04/2022,15:00,Dundee United,Dundee,2,2,2.3,1.61
SC0,9/04/2022,15:00,Hearts,Hibernian,3,1,2.1,1.72
SC0,9/04/2022,15:00,Livingston,Motherwell,2,2,2.3,1.61
SC0,10/04/2022,12:00,St Mirren,Rangers,0,4,1.85,2
SC0,23/04/2022,12:00,Motherwell,Rangers,1,3,1.72,2.1
SC0,23/04/2022,15:00,Aberdeen,Livingston,1,2,2.37,1.57
SC0,23/04/2022,15:00,Dundee,St Johnstone,1,1,2.75,1.44
SC0,23/04/2022,15:00,St Mirren,Hibernian,0,1,2.37,1.57
SC0,24/04/2022,14:30,Ross County,Celtic,0,2,1.57,2.37
SC0,24/04/2022,15:00,Dundee United,Hearts,2,3,2.02,1.83
SC0,30/04/2022,15:00,Aberdeen,Dundee,1,0,2.1,1.72
SC0,30/04/2022,15:00,Dundee United,Motherwell,1,0,2.2,1.66
SC0,30/04/2022,15:00,Hearts,Ross County,0,0,1.9,1.95
SC0,30/04/2022,15:00,Livingston,Hibernian,1,0,2.62,1.5
SC0,30/04/2022,15:00,St Johnstone,St Mirren,0,1,3,1.4
SC0,1/05/2022,12:00,Celtic,Rangers,1,1,1.9,1.95
SC0,7/05/2022,12:00,Celtic,Hearts,4,1,1.5,2.62
SC0,7/05/2022,15:00,Hibernian,Aberdeen,1,1,2.37,1.57
SC0,7/05/2022,15:00,Livingston,St Johnstone,1,1,2.5,1.53
SC0,7/05/2022,15:00,Ross County,Motherwell,0,1,2.2,1.66
SC0,7/05/2022,15:00,St Mirren,Dundee,2,0,2.37,1.57
SC0,8/05/2022,15:00,Rangers,Dundee United,2,0,1.57,2.37
SC0,10/05/2022,19:45,Dundee,Hibernian,3,1,2.5,1.53
SC0,11/05/2022,19:30,Dundee United,Celtic,1,1,1.57,2.37
SC0,11/05/2022,19:45,Motherwell,Hearts,2,1,2,1.85
SC0,11/05/2022,19:45,Rangers,Ross County,4,1,1.44,2.75
SC0,11/05/2022,19:45,St Johnstone,Aberdeen,1,0,2.62,1.5
SC0,11/05/2022,19:45,St Mirren,Livingston,0,0,2.5,1.53
SC0,14/05/2022,12:15,Celtic,Motherwell,6,0,1.4,3
SC0,14/05/2022,12:15,Hearts,Rangers,1,3,1.66,2.2
SC0,14/05/2022,12:15,Ross County,Dundee United,1,2,2.2,1.66
SC0,15/05/2022,12:00,Aberdeen,St Mirren,0,0,2.2,1.66
SC0,15/05/2022,12:00,Hibernian,St Johnstone,4,0,2.62,1.5
SC0,15/05/2022,12:00,Livingston,Dundee,2,1,2.1,1.72
SC0,30/07/2022,12:00,Livingston,Rangers,1,2,1.8,2.05
SC0,30/07/2022,15:00,Hearts,Ross County,2,1,1.88,1.98
SC0,30/07/2022,15:00,Kilmarnock,Dundee United,1,1,2.3,1.61
SC0,30/07/2022,15:00,St Johnstone,Hibernian,0,1,2.62,1.5
SC0,31/07/2022,15:00,St Mirren,Motherwell,0,1,2.2,1.66
SC0,31/07/2022,16:30,Celtic,Aberdeen,2,0,1.57,2.37
SC0,6/08/2022,15:00,Aberdeen,St Mirren,4,1,2.2,1.66
SC0,6/08/2022,15:00,Motherwell,St Johnstone,1,2,2.5,1.53
SC0,6/08/2022,15:00,Rangers,Kilmarnock,2,0,1.53,2.5
SC0,6/08/2022,15:00,Ross County,Celtic,1,3,1.5,2.62
SC0,7/08/2022,12:00,Hibernian,Hearts,1,1,2.2,1.66
SC0,7/08/2022,15:00,Dundee United,Livingston,0,1,2.5,1.53
SC0,13/08/2022,15:00,Aberdeen,Motherwell,2,3,2.1,1.72
SC0,13/08/2022,15:00,Livingston,Hibernian,2,1,2.5,1.53
SC0,13/08/2022,15:00,Rangers,St Johnstone,4,0,1.72,2.1
SC0,13/08/2022,15:00,St Mirren,Ross County,1,0,2.2,1.66
SC0,14/08/2022,12:00,Kilmarnock,Celtic,0,5,1.53,2.5
SC0,14/08/2022,15:00,Hearts,Dundee United,4,1,2,1.85
SC0,20/08/2022,12:30,Hibernian,Rangers,2,2,1.85,2
SC0,20/08/2022,15:00,Dundee United,St Mirren,0,3,2.37,1.57
SC0,20/08/2022,15:00,Motherwell,Livingston,1,0,2.3,1.61
SC0,20/08/2022,15:00,Ross County,Kilmarnock,1,0,2.2,1.66
SC0,20/08/2022,15:00,St Johnstone,Aberdeen,0,1,2.5,1.53
SC0,21/08/2022,15:00,Celtic,Hearts,2,0,1.44,2.75
SC0,27/08/2022,15:00,Aberdeen,Livingston,5,0,2.1,1.72
SC0,27/08/2022,15:00,Kilmarnock,Motherwell,2,1,2.2,1.66
SC0,27/08/2022,15:00,Rangers,Ross County,4,0,1.44,2.75
SC0,27/08/2022,15:00,St Mirren,Hibernian,1,0,2.3,1.61
SC0,28/08/2022,12:00,Dundee United,Celtic,0,9,1.44,2.75
SC0,28/08/2022,15:00,Hearts,St Johnstone,3,2,2.1,1.72
SC0,3/09/2022,12:30,Celtic,Rangers,4,0,1.72,2.1
SC0,3/09/2022,15:00,Hibernian,Kilmarnock,1,0,2.1,1.72
SC0,3/09/2022,15:00,Livingston,Hearts,1,0,2.1,1.72
SC0,3/09/2022,15:00,Motherwell,Dundee United,0,0,2.1,1.72
